hip,ra,dec,mag,proper
101769,20.625816,14.595087,3.0,
101772,20.626116,-47.291502,3.0,
101958,20.660635,15.912072,3.0,
102098,20.690532,45.280338,3.0,
102281,20.724315,15.074581,3.0,
102395,20.749314,-66.203212,3.0,
102485,20.76826,-25.270898000000006,3.0,
102488,20.770178,33.970256,3.0,
102532,20.77764,16.124295999999998,3.0,
102618,20.794598,-9.495776,3.0,
102831,20.8328,-33.779722,3.0,
102978,20.863692,-26.919133,3.0,
103227,20.913498,-58.45415500000001,3.0,
103738,21.021517000000006,-32.257767,3.0,
104139,21.099118,-17.232861,3.0,
104521,21.172361,10.131579,3.0,
104732,21.215607,30.226916,3.0,
104858,21.241337,10.006981,3.0,
104987,21.263731,5.247845,3.0,
105140,21.298966,-32.172539,3.0,
105199,21.30963,62.585573,3.0,
105319,21.331096,-53.449427,3.0,
105515,21.370776,-16.834542000000006,3.0,
105570,21.381559,6.811139999999999,3.0,
105858,21.440705,-65.366198,3.0,
105881,21.444452,-22.411332,3.0,
106032,21.477662,70.560716,3.0,
106278,21.525982,-5.571172,3.0,
106985,21.668181,-16.662308,3.0,
107089,21.691253,-77.390046,3.0,
107310,21.73571,28.742632,3.0,
107315,21.736433,9.875011,3.0,
107354,21.744092,25.645036,3.0,
107556,21.784011,-16.127285999999998,3.0,
107608,21.795598,-30.898304,3.0,
108085,21.898808,-37.364852,3.0,
108661,22.013951,-28.453736,3.0,
109074,22.096399,-0.319851,3.0,
109111,22.101914,-39.543353,3.0,
109139,22.107286,-13.869679,3.0,
109176,22.116847,25.345112,3.0,
109268,22.137209,-46.960975,3.0,
109352,22.153789,33.172337,3.0,
109422,22.169093,-32.548407,3.0,
109427,22.169996,6.197865,3.0,
109492,22.180908,58.201261,3.0,
109937,22.26616,37.748737,3.0,
110003,22.280565,-7.783289999999999,3.0,
110130,22.308371,-60.259587,3.0,
110395,22.360938,-1.387331,3.0,
110538,22.392675,52.229046,3.0,
110609,22.408609,49.476392,3.0,
110960,22.480531,-0.019972,3.0,
110997,22.487825,-43.495565,3.0,
111022,22.492173,47.706887,3.0,
111104,22.508128,43.123376,3.0,
111123,22.510782,-10.67795,3.0,
111169,22.521515,50.282491,3.0,
111188,22.52509,-32.346073,3.0,
111497,22.589272,-0.117498,3.0,
111954,22.677594,-27.043617,3.0,
112029,22.691033,10.831364,3.0,
112122,22.711115,-46.884577,3.0,
112158,22.716704,30.221245,3.0,
112405,22.767692,-81.381615,3.0,
112440,22.775521,23.565654,3.0,
112447,22.778216,12.172888,3.0,
112623,22.809239,-51.316864,3.0,
112716,22.826528,-13.592632,3.0,
112724,22.82802,66.200408,3.0,
112748,22.833385,24.601579,3.0,
112961,22.87691,-7.579599000000001,3.0,
113136,22.910837,-15.82082,3.0,
113246,22.932472,-32.539628,3.0,
113368,22.960838,-29.622236,3.0,
113638,23.014677,-52.754137,3.0,
113881,23.062901,28.082789,3.0,
113963,23.079348,15.205264,3.0,
114131,23.11465,-43.520358,3.0,
114341,23.157443,-21.17241,3.0,
114421,23.17264,-45.246711,3.0,
114855,23.264859,-9.087737,3.0,
114971,23.286094,3.282289,3.0,
114996,23.290498,-58.235734,3.0,
115102,23.313733,-32.532027,3.0,
115438,23.382842,-20.10058,3.0,
115738,23.448876,1.255608,3.0,
115830,23.466138,6.378992,3.0,
116231,23.549512,-37.818268,3.0,
116727,23.65582,77.632276,3.0,
116771,23.665844,5.6262919999999985,3.0,
116928,23.700779,1.780041,3.0,
118268,23.988525,6.863321000000001,3.0,
